   ________________________________________________________________________________

                               Parametric study: press2
   ________________________________________________________________________________

              C10,            D1,             h,         VDISP,         FORCE,
          2.5e+06,         1e-06,     0.0003488,     0.0003488,       429.461,
          1.5e+06,      1.25e-06,     0.0003488,     0.0003488,       284.638,
      1.66667e+06,      1.25e-06,     0.0003488,     0.0003488,       305.501,
      1.83333e+06,      1.25e-06,     0.0003488,     0.0003488,        325.04,
            2e+06,      1.25e-06,     0.0003488,     0.0003488,       343.569,
      2.16667e+06,      1.25e-06,     0.0003488,     0.0003488,       361.207,
      2.33333e+06,      1.25e-06,     0.0003488,     0.0003488,       378.047,
          2.5e+06,      1.25e-06,     0.0003488,     0.0003488,       393.834,
          1.5e+06,       1.5e-06,     0.0003488,     0.0003488,        267.68,
      1.66667e+06,       1.5e-06,     0.0003488,     0.0003488,       286.307,
      1.83333e+06,       1.5e-06,     0.0003488,     0.0003488,       303.863,
            2e+06,       1.5e-06,     0.0003488,     0.0003488,       320.481,
      2.16667e+06,       1.5e-06,     0.0003488,     0.0003488,       335.565,
      2.33333e+06,       1.5e-06,     0.0003488,     0.0003488,       349.727,
          2.5e+06,       1.5e-06,     0.0003488,     0.0003488,       363.188,
          1.5e+06,         5e-07,      0.000371,      0.000371,       368.657,
      1.66667e+06,         5e-07,      0.000371,      0.000371,       401.803,
      1.83333e+06,         5e-07,      0.000371,      0.000371,       434.105,
            2e+06,         5e-07,      0.000371,      0.000371,       465.578,
      2.16667e+06,         5e-07,      0.000371,      0.000371,       495.647,
      2.33333e+06,         5e-07,      0.000371,      0.000371,       525.217,
          2.5e+06,         5e-07,      0.000371,      0.000371,       554.129,
          1.5e+06,       7.5e-07,      0.000371,      0.000371,       340.345,
      1.66667e+06,       7.5e-07,      0.000371,      0.000371,       369.419,
      1.83333e+06,       7.5e-07,      0.000371,      0.000371,       397.592,
            2e+06,       7.5e-07,      0.000371,      0.000371,       424.914,
      2.16667e+06,       7.5e-07,      0.000371,      0.000371,       450.398,
      2.33333e+06,       7.5e-07,      0.000371,      0.000371,       475.028,
          2.5e+06,       7.5e-07,      0.000371,      0.000371,       498.946,
          1.5e+06,         1e-06,      0.000371,      0.000371,       318.686,
      1.66667e+06,         1e-06,      0.000371,      0.000371,       344.022,
      1.83333e+06,         1e-06,      0.000371,      0.000371,       368.288,
            2e+06,         1e-06,      0.000371,      0.000371,       391.032,
      2.16667e+06,         1e-06,      0.000371,      0.000371,       412.356,
      2.33333e+06,         1e-06,      0.000371,      0.000371,       432.807,
          2.5e+06,         1e-06,      0.000371,      0.000371,       452.449,
          1.5e+06,      1.25e-06,      0.000371,      0.000371,       299.367,
      1.66667e+06,      1.25e-06,      0.000371,      0.000371,       321.447,
      1.83333e+06,      1.25e-06,      0.000371,      0.000371,       342.218,
            2e+06,      1.25e-06,      0.000371,      0.000371,       361.959,
      2.16667e+06,      1.25e-06,      0.000371,      0.000371,       380.794,
